数据文件,总事件数,预警数,报警数,错误
20250101.xlsx,145,145,0,
20250102.xlsx,186,186,0,
20250103.xlsx,288,234,54,
20250104.xlsx,859,566,293,
20250105.xlsx,860,567,293,
20250106.xlsx,203,170,33,
20250107.xlsx,192,192,0,
20250108.xlsx,297,297,0,
20250109.xlsx,230,230,0,
20250110.xlsx,188,188,0,
20250111.xlsx,101,101,0,
20250112.xlsx,112,112,0,
20250113.xlsx,118,118,0,
20250114.xlsx,348,256,92,
20250115.xlsx,771,481,290,
20250116.xlsx,673,384,289,
20250117.xlsx,651,362,289,
20250118.xlsx,687,398,289,
20250119.xlsx,690,401,289,
20250120.xlsx,769,480,289,
20250121.xlsx,806,517,289,
20250122.xlsx,785,497,288,
20250123.xlsx,832,543,289,
20250124.xlsx,727,438,289,
20250125.xlsx,726,436,290,
20250126.xlsx,939,534,405,
20250127.xlsx,1290,713,577,
20250128.xlsx,1314,732,582,
20250129.xlsx,1309,732,577,
20250130.xlsx,1263,686,577,
20250131.xlsx,1269,692,577,
0201.xlsx,1262,685,577,
0202.xlsx,1297,721,576,
0203.xlsx,1323,746,577,
0204.xlsx,1338,759,579,
0205.xlsx,1317,741,576,
0206.xlsx,1281,705,576,
0207.xlsx,1268,691,577,
0208.xlsx,887,516,371,
0209.xlsx,685,397,288,
0210.xlsx,691,403,288,
0211.xlsx,737,443,294,
0212.xlsx,719,431,288,
0213.xlsx,678,386,292,
0214.xlsx,655,367,288,
0215.xlsx,661,373,288,
0216.xlsx,692,404,288,
0217.xlsx,677,389,288,
0218.xlsx,702,411,291,
0219.xlsx,679,391,288,
0220.xlsx,679,391,288,
0221.xlsx,692,404,288,
0222.xlsx,673,385,288,
0223.xlsx,678,390,288,
0224.xlsx,685,397,288,
0225.xlsx,673,384,289,
0226.xlsx,666,378,288,
0227.xlsx,718,426,292,
0228.xlsx,551,359,192,
0301.xlsx,134,133,1,
0302.xlsx,220,220,0,
0303.xlsx,161,160,1,
0304.xlsx,140,140,0,
0305.xlsx,328,254,74,
0306.xlsx,699,411,288,
0307.xlsx,723,428,295,
0308.xlsx,752,462,290,
0309.xlsx,703,406,297,
0310.xlsx,682,384,298,
0311.xlsx,757,469,288,
0312.xlsx,747,457,290,
0313.xlsx,720,427,293,
0314.xlsx,724,436,288,
0315.xlsx,637,349,288,
0316.xlsx,616,328,288,
0317.xlsx,353,267,86,
0318.xlsx,245,214,31,
0319.xlsx,183,182,1,
0320.xlsx,164,162,2,
0321.xlsx,127,113,14,
0322.xlsx,107,100,7,
0323.xlsx,174,152,22,
0324.xlsx,142,133,9,
0325.xlsx,121,121,0,
0326.xlsx,101,101,0,
0327.xlsx,48,48,0,
0328.xlsx,69,69,0,
0329.xlsx,80,80,0,
0330.xlsx,58,58,0,
0331.xlsx,93,93,0,
0401.xlsx,106,106,0,
0402.xlsx,87,87,0,
0403.xlsx,113,113,0,
0404.xlsx,53,53,0,
0405.xlsx,57,57,0,
0406.xlsx,51,51,0,
0407.xlsx,58,57,1,
0408.xlsx,72,72,0,
0409.xlsx,100,88,12,
0410.xlsx,222,153,69,
0411.xlsx,668,376,292,
0412.xlsx,660,372,288,
0413.xlsx,655,366,289,
0414.xlsx,632,343,289,
0415.xlsx,632,343,289,
0416.xlsx,666,377,289,
0417.xlsx,673,383,290,
0418.xlsx,692,402,290,
0419.xlsx,660,372,288,
0420.xlsx,635,346,289,
0421.xlsx,695,405,290,
0422.xlsx,684,395,289,
0423.xlsx,303,221,82,
0424.xlsx,126,123,3,
0425.xlsx,126,125,1,
0426.xlsx,376,278,98,
0427.xlsx,698,389,309,
0428.xlsx,685,376,309,
0429.xlsx,680,391,289,
0430.xlsx,703,407,296,
0501.xlsx,701,408,293,
0502.xlsx,763,473,290,
0503.xlsx,733,445,288,
0504.xlsx,749,461,288,
0505.xlsx,740,451,289,
0506.xlsx,725,437,288,
0507.xlsx,725,437,288,
0508.xlsx,752,464,288,
0509.xlsx,748,455,293,
0510.xlsx,767,479,288,
0511.xlsx,763,475,288,
0512.xlsx,813,523,290,
0513.xlsx,753,463,290,
0514.xlsx,756,446,310,
0515.xlsx,770,458,312,
0516.xlsx,682,390,292,
0517.xlsx,604,316,288,
0518.xlsx,604,316,288,
0519.xlsx,604,316,288,
0520.xlsx,604,316,288,
0521.xlsx,658,369,289,
0522.xlsx,708,419,289,
0523.xlsx,733,444,289,
0524.xlsx,678,390,288,
0525.xlsx,705,417,288,
0526.xlsx,-1,-1,-1,"agg function failed [how->mean,dtype->object]"
0527.xlsx,-1,-1,-1,'<' not supported between instances of 'str' and 'float'
0528.xlsx,1395,815,580,
0529.xlsx,1306,743,563,
0530.xlsx,736,448,288,
0531-1.xlsx,560,353,207,
0531-2.xlsx,215,131,84,
0601.xlsx,-1,-1,-1,"agg function failed [how->mean,dtype->object]"
0602.xlsx,728,438,290,
0603.xlsx,774,483,291,
0604.xlsx,699,411,288,
0605.xlsx,710,422,288,
0606.xlsx,743,450,293,
0607.xlsx,723,433,290,
0608.xlsx,732,441,291,
0609.xlsx,763,475,288,
0610.xlsx,707,419,288,
0611.xlsx,684,390,294,
0612.xlsx,693,405,288,
0613.xlsx,752,460,292,
0614.xlsx,747,456,291,
0615.xlsx,686,396,290,
0616.xlsx,726,437,289,
0617.xlsx,0,0,0,
0618.xlsx,762,470,292,
0619.xlsx,767,475,292,
0620.xlsx,786,494,292,
0621.xlsx,460,333,127,
0622.xlsx,215,215,0,
0623.xlsx,188,188,0,
0624.xlsx,195,195,0,
0625.xlsx,276,276,0,
0626.xlsx,313,313,0,
0627.xlsx,293,293,0,
0628.xlsx,255,255,0,
0629.xlsx,299,299,0,
0630.xlsx,262,262,0,
